pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-181 b,TOI-181,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..527M/abstract target=ref>Mistry et al. 2023</a>,4.532,0.000002,-0.000002,0,0.0539,0.0043,-0.0036,0,6.9559,0.087,-0.101,0,0.6339,0.0079,-0.0092,0,46.1687,2.71,-7.83,0,0.1452,0.0085,-0.024,0,Mass,0.1543,0.06,-0.03,0,102.43,15.52,-14.64,0,895.1,32.14,-33.86,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..527M/abstract target=ref>Mistry et al. 2023</a>,K,4994,50,-50,0,0.745,0.024,-0.024,0,0.822,0.04,-0.04,0,0.272,0.08,-0.08,0,[M/H],4.608,0.035,-0.035,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h28m41.41s,352.1725409,-34d29m29.08s,-34.4914099,96.2338,0.5781,-0.5714,11.191,0.019,-0.019,9.047,0.021,-0.021,11.0857,0.000737,-0.000737,2023-03-15,May-23,2023-03-15
TOI-283 b,TOI-283,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251015084M/abstract target=ref>Murgas et al. 2025</a>,17.61745,0.00002,-0.00001,0,0.123,0.004,-0.004,0,2.34,0.09,-0.09,0,0.20876118,0.00802928,-0.00802928,0,6.54,2.04,-2.04,0,0.02057714,0.00641856,-0.00641856,0,Mass,0,,,0,30.4,2.5,-2.5,0,661,9,-9,0,0,<a refstr=MURGAS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251015084M/abstract target=ref>Murgas et al. 2025</a>,K,5213,70,-70,0,0.85,0.03,-0.03,0,0.8,0.01,-0.01,0,-0.09,0.05,-0.05,0,[Fe/H],4.5,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h54m16.63s,118.5693065,-65d26m29.34s,-65.441482,82.7013,0.2117,-0.2107,10.41,0.007,-0.007,8.517,0.026,-0.026,10.1971,0.000539,-0.000539,2025-11-13,Oct-25,2025-11-13
TOI-6041 b,TOI-6041,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HEIDARI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251201911H/abstract target=ref>Heidari et al. 2025</a>,26.04945,0.00033,-0.00034,0,0.1651,0.0026,-0.0022,0,4.55,0.18,-0.17,0,0.40592451,0.01605855,-0.01516641,0,28.9,,,1,0.09092957,,,1,Mass,,,,,22.4,1.2,-1.2,0,605.6,8.4,-8.3,0,1,<a refstr=HEIDARI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251201911H/abstract target=ref>Heidari et al. 2025</a>,G7,5445,97,-96,0,0.879,0.026,-0.026,0,0.885,0.042,-0.036,0,0.104,0.069,-0.068,0,[Fe/H],4.498,0.031,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h04m14.65s,46.0610334,+43d33m27.60s,43.5576668,72.4731,0.2088,-0.2077,9.838,0.004,-0.004,8.061,0.014,-0.014,9.70942,0.000372,-0.000372,2025-12-18,Dec-25,2025-12-18
TOI-733 b,TOI-733,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GEORGIEVA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230406655G/abstract target=ref>Georgieva et al. 2023</a>,4.884765,0.000019,-0.000024,0,0.0618,0.0036,-0.0039,0,1.992,0.085,-0.09,0,0.17771464,0.00758321,-0.00802928,0,5.72,0.7,-0.68,0,0.01799713,0.00220245,-0.00213952,0,Mass,0.046,0.056,-0.033,0,207.1,29.9,-23.5,0,1055.8,36.2,-31.3,0,0,<a refstr=GEORGIEVA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230406655G/abstract target=ref>Georgieva et al. 2023</a>,G,5585,60,-60,0,0.949,0.008,-0.012,0,0.956,0.05,-0.026,0,-0.04,0.05,-0.05,0,[Fe/H],4.47,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h37m38.24s,159.4093183,-40d53m17.73s,-40.888259,75.2092,0.1764,-0.1756,9.44,0.003,-0.003,7.845,0.024,-0.024,9.28881,0.000118,-0.000118,2023-04-17,Apr-23,2023-04-17
HD 110113 b,HD 110113,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,2.541,0.0005,-0.001,0,0.035,0.001,-0.001,0,2.05,0.12,-0.12,0,0.18288875,0.01070568,-0.01070568,0,4.55,0.62,-0.62,0,0.01431583,0.00195073,-0.00195073,0,Mass,0.093,0.079,-0.064,0,735.49,29.39,-29.39,0,1371,14,-14,0,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,G,5732,50,-50,0,0.968,0.018,-0.018,0,0.997,0.06,-0.06,0,0.14,0.02,-0.02,0,[Fe/H],4.46,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.307,0.724,-0.715,10.09,0.03,-0.03,8.502,0.024,-0.024,9.91036,0.000452,-0.000452,2021-02-05,Apr-21,2021-02-11
TIC 139270665 b,TIC 139270665,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,23.624,0.03,-0.031,0,0.163,0.0027,-0.0033,0,7.22979255,0.26901554,-0.24659758,0,0.645,0.024,-0.022,0,147.1545524,14.62010672,-14.62010672,0,0.463,0.046,-0.046,0,Mass,0.105,0.053,-0.05,0,40.3,3.4,-2.7,0,703,14,-11,0,0,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,G2,5844,84,-82,0,1.016,0.035,-0.031,0,1.035,0.052,-0.062,0,0.156,0.057,-0.056,0,[Fe/H],4.439,0.032,-0.041,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h16m08.14s,124.0338967,+33d17m29.23s,33.2914532,189.875,1.615,-1.589,10.385,0.005,-0.005,8.946,0.019,-0.019,10.1805,0.000347,-0.000347,2024-05-08,Apr-24,2024-05-08
TOI-2010 b,TOI-2010,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,141.834025,0.000065,-0.000066,0,0.5516,0.0078,-0.0093,0,11.81426566,0.30264248,-0.30264248,0,1.054,0.027,-0.027,0,408.7273314,17.48056238,-18.1162192,0,1.286,0.055,-0.057,0,Mass,0.212,0.022,-0.021,0,4.09,0.22,-0.21,0,400.2,5.6,-5.7,0,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,F0,5929,74,-74,0,1.079,0.027,-0.026,0,1.112,0.048,-0.055,0,0.168,0.055,-0.055,0,[Fe/H],4.417,0.021,-0.025,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m40.07s,292.1669417,+53d29m14.53s,53.4873694,109.19,0.322,-0.32,9.849,0.004,-0.004,8.281,0.016,-0.016,9.69568,0.00032,-0.00032,2023-11-29,Dec-23,2023-11-29
TOI-837 b,TOI-837,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4275B/abstract target=ref>Barrag&aacute;n et al. 2024</a>,8.3249113,0.0000036,-0.0000036,0,0.0888,0.0026,-0.0029,0,9.16894621,0.38110534,-0.26901554,0,0.818,0.034,-0.024,0,120.4569663,18.43404761,-19.38753283,0,0.379,0.058,-0.061,0,Mass,,,,,164,14,-12,0,995.3,20.4,-19.1,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4275B/abstract target=ref>Barrag&aacute;n et al. 2024</a>,F9/G0,5995,79,-79,0,1.052,0.012,-0.007,0,1.142,0.008,-0.011,0,0.01,0.04,-0.04,0,[Fe/H],4.453,0.003,-0.008,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m08.95s,157.0372806,-64d30m18.76s,-64.5052107,142.488,0.461,-0.458,10.635,0.007,-0.007,8.933,0.026,-0.026,10.356,0.000667,-0.000667,2024-08-07,Jul-24,2024-08-07
TOI-2458 b,TOI-2458,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_AMP_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240917532S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,3.73659,0.00044,-0.00047,0,0.0482,0.0025,-0.0027,0,2.83,0.2,-0.18,0,0.25247612,0.01784284,-0.01605855,0,13.31,0.99,-0.96,0,0.04187794,0.00311489,-0.0030205,0,Mass,0.087,0.062,-0.056,0,865,98.8,-77.9,0,1509.4,41.4,-35.2,0,0,<a refstr=_AMP_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240917532S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,F9-F9.5,6005,50,-50,0,1.31,0.03,-0.03,0,1.05,0.03,-0.03,0,-0.1,0.05,-0.05,0,[Fe/H],4.2,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h18m29.17s,79.621529,+01d15m12.38s,1.253439,112.958,0.54,-0.535,9.202,0.003,-0.003,7.891,0.023,-0.023,9.09716,0.00031,-0.00031,2024-12-10,Sep-24,2024-12-10
TOI-6130 b,TOI-6130,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,2.392679,0.000002,-0.000002,0,0.036,0.002,-0.002,0,14.3474953,0.33626942,-0.33626942,0,1.28,0.03,-0.03,0,333.7198274,19.06970442,-19.06970442,0,1.05,0.06,-0.06,0,Mass,0.036,0.018,-0.018,0,1150,80,-80,0,1750,40,-40,0,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,F,6110,50,-50,0,1.51,0.03,-0.03,0,1.31,0.08,-0.08,0,0.28,0.06,-0.06,0,[Fe/H],4.19,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m49.22s,339.2050832,+16d49m37.90s,16.8271941,220.882,2.637,-2.576,11.21,0.011,-0.011,9.655,0.018,-0.018,10.9775,0.000588,-0.000588,2025-01-22,Dec-24,2025-01-22
