toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,-0.076,2459229.63,2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,9.604,485.735,10249,4.19,2.16986,2019-07-24 15:58,2024-09-09 10:08
1001.01,88863718,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,-15.555,2459987.949,1.9316462,3.166,1286,11.2154,44464.5,4045,9.42344,295.862,7070,4.03,2.01,2019-07-24 15:58,2023-04-03 14:31
1002.01,124709665,FP,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,-2.249,2459224.688,1.8675574,1.408,1500,23.7529,2860.61,2037,9.299501,943.109,8924,,5.73,2019-07-24 15:58,2022-07-11 16:02
1003.01,106997505,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.64,2458493.396,2.74323,3.167,383.41,,1177.36,1631,9.3003,7728.17,5388.5,4.15,,2019-07-24 15:58,2022-02-23 10:10
1004.01,238597883,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,9.347,2459987.047,3.5730141,3.37,755,11.3113,54679.3,4260,9.1355,356.437,9219,4.14,2.15,2019-07-24 15:58,2024-09-09 10:08
1005.01,169904935,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,-2.901,2459985.157,4.5505945,2.654,3731,7.10841,414.775,1257,9.1309,100.711,5613,,1.09,2019-07-24 15:58,2025-07-08 10:08
1006.01,156115721,FP,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,-6.8,2459229.985,2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,9.2386,,6616,,1.53429,2019-07-24 15:58,2021-10-29 12:59
1007.01,65212867,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,3.399,2459247.931,6.9989206,3.953,2840,14.7752,448.744,1282,8.87759,283.291,6596,3.71,2.7,2019-07-24 15:58,2021-10-29 12:59
1008.01,440801822,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.3,2460258.236,2.0483755,2.767,483,3.19621,5644.4,,8.9362,144.297,6858.5,4.2,1.57,2019-07-24 15:58,2023-12-08 16:02
1009.01,107782586,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,4.849,2459229.231,1.9600277,2.0065257,1707.627269,,1063.342296,1456.424653,8.4331,866.147,8868.7,,,2019-07-24 15:58,2024-01-17 10:08
101.01,231663901,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,-16.011,2458326.009,1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,12.4069,375.31,5600,4.48851,0.890774,2018-09-05 18:49,2024-09-06 10:08
1010.01,139853601,FP,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,4.502,2459228.878,0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,8.45086,485.122,9438,,1,2019-07-24 15:58,2021-10-29 12:59
1011.01,114018671,PC,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,-134.901,2460715.899,2.4705036,2.3513472,273.0272045,1.44656,575.597,1364,8.2388,52.62,5413.7,4.46,0.94,2019-07-24 15:58,2026-01-26 16:00
1012.01,427508467,APC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,-0.029,2459252.51,0.884182,1.621,1890,24.8132,112144,5098,8.12718,295.959,8928,3.92,2.72,2019-07-24 15:58,2023-03-10 12:02
1013.01,97700520,FP,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,7.061,2459232.248,5.4255548,3.9637474,14939.63422,,273.5880696,1037.275305,7.6095,510.295,8868.7,,,2019-07-24 15:58,2021-10-29 12:59
1014.01,96246348,FP,06h54m14.78s,103.561602,-34d13m22.15s,-34.22282,-13.063,9.737,2459985.657,1.4095184,0.9484999,2841.510326,,1650.422071,1625.618022,7.678,224.672,9307,,,2019-07-24 15:58,2023-11-20 10:08
1015.01,155044736,FP,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,-17.974,2459963.61,1.3730466,2.5708515,1301.506534,42.1479417,3160.632833,1912.331864,10.7069,906.496,4897,,6.7996101,2019-04-01 16:51,2023-12-20 16:02
1016.01,175310067,FP,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,11.614,2459238.831,12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,10.6257,368.646,7601,4.31,1.53641,2019-04-01 16:52,2024-09-09 10:08
1017.01,182943944,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,9.593,2458518.965,1.10422,2.37,14177.7,21.0448,39459.3,3926,10.6019,406.997,6995.2,4.07,1.61,2019-07-24 17:08,2021-10-29 12:59
1018.01,291555748,FP,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,11.56,2458492.781,4.95912,2.509,7440,22.9123,673.55,1419,10.6254,360.541,5889,3.86,2,2019-04-01 16:52,2021-10-29 12:59
1019.01,341420329,PC,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,2.586,2459232.447,5.2341008,3.7078139,20796.94163,24.2931408,1453.666385,1574.838185,10.6348,399.544,7645,4.3,1.56203,2019-07-24 17:08,2024-02-16 10:08
102.01,149603524,KP,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,26.046,2460187.917,4.4119378,3.65,15062,15.4706,653.252,1408,9.7109,175.631,6280,4.32092,1.21,2019-05-07 17:42,2024-10-03 10:08
1020.01,140706664,FP,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,4.328,2458521.291,3.28892,3.793,10518.9,,29832.6,3661,10.7173,906.827,8734.2,4.1,,2019-07-24 17:08,2021-10-29 12:59
1021.01,143994283,FP,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,-15.082,2458492.904,1.90879,1.909,618.482,3.34688,985.807,1561,10.5551,235.974,6022.6,4.52,1.22,2019-07-24 17:08,2021-10-29 12:59
1022.01,47384844,FA,10h51m51.58s,162.96491,-05d47m19.35s,-5.788708,-15.787,-11.849,2458547.448,3.09574,4.475,380,3.4262,18087.9,3230,8.72924,120.666,6084,4.13,1.41,2019-06-04 14:32,2023-06-06 12:02
1023.01,238374636,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,22.652,2459303.304,1.3214483,3.435,2180,21.8839,35623.2,3827,9.697,316.398,5050.8,3.56,2.99,2019-07-24 18:44,2021-12-07 16:02
1024.01,141482386,FP,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,11.563,2458339.723,18.0157,2.524,610,21.644,7.64364,463,10.0814,692.266,4709,,7.61,2019-07-24 18:44,2021-10-29 12:59
1025.01,297967252,FP,09h30m05.08s,142.521159,-51d31m01.61s,-51.517114,-19.153,11.046,2460733.687,9.6837908,1.6988586,4965.249652,25.3602704,2575.814191,1985.077197,5.5324,129.838,8598.7,,,2019-07-24 18:44,2025-12-11 10:08
1026.01,388624270,FP,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,-6.325,2460720.808,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690,4.58,0.853898,2019-06-11 14:45,2025-09-02 16:00
1027.01,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460037.869,3.2834565,1.537,1558,2.87648,161.092,992,10.2103,56.3449,4272,4.6,0.68,2019-07-24 18:44,2023-06-05 12:03
1027.02,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460032.533,11.02875,2.715,1694,2.76586,15.0463,548,10.2103,56.3449,4272,4.6,0.68,2021-06-03 22:37,2024-09-01 12:02
1027.03,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460032.573,5.0113292,1.024,1210,2.52314,17.1793,567,10.2103,56.3449,4272,4.6,0.68,2023-05-18 23:08,2023-06-05 12:03
1028.01,447283466,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,-33.906,2458544.481,1.01606,2.843,240,1.20704,2784.04,2023,7.9059,23.7748,4634,4.64,0.68,2019-07-24 18:44,2021-10-29 12:59
1029.01,374908020,FP,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,,,2458365.893,36.22214,5.107,7170,,,,6.841,,,,,2019-06-11 14:45,2021-12-07 16:02
103.01,336732616,KP,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,15.62,2458327.253,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351,4.22896,1.4,2018-09-05 18:49,2024-09-07 10:08
1030.01,464296022,FP,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,22.489,2460054.784,12.1246519,4.612,7279,17.6729,207.32,1057,9.5706,78.41273,4807.6,4.17,1.07,2019-07-24 18:44,2023-05-31 10:10
1031.01,304021498,FP,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,3.03,2459304.838,5.652623,3.434,1250,8.94354,2717.06,2011,9.7318,270.771,6415.4,3.98,1.92,2019-06-25 15:58,2024-09-19 10:08
1032.01,146589986,PC,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,6.437,2459283.829,5.6643704,3.8087395,3491.823297,14.7738943,7657.662151,2385.853649,9.7611,587.196,10395,4.13,2.3383701,2019-07-24 18:44,2024-01-17 10:08
1033.01,149601557,FP,05h49m07.82s,87.282586,-60d29m54.4s,-60.498444,8.9,20.7,2460717.399,29.0161646,5.345,1238.338159,6.8208109,33.2234,,10.0163,219.94,6113.1,,2.01,2019-06-11 14:45,2025-10-08 16:00
1034.01,400595342,FP,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,4.109,2460768.617,3.6404389,2.5339234,476.3077321,3.7025342,9941.226551,2783.098027,9.8174,363.44,9810,4.43,1.60776,2019-07-24 18:44,2025-09-05 10:08
1035.01,361413119,PC,09h36m36.07s,144.150273,-61d34m59.46s,-61.583182,-9.506,16.897,2459286.873,6.0744477,2.4954821,5982.521241,30.9493217,1487.564434,1583.93989,10.1126,347.556,5964,3.7,2.4303801,2019-07-24 18:44,2025-07-09 16:00
1036.01,146172354,PC,10h31m28.11s,157.867112,-42d14m25.61s,-42.240448,10.992,-57.748,2460037.172,3.7795212,2.952,2761,5.98375,466.528,1294,10.2855,184.015,5771,4.31,1.18,2019-07-24 18:44,2023-05-05 16:02
1037.01,363260203,FP,09h49m32.44s,147.385172,-63d18m23.32s,-63.306478,-19.687,10.953,2459331.125,1.2025238,1.991,390,6.31106,208477,5952,9.0211,279.698,9158,4.32,1.74,2019-07-24 18:44,2024-09-07 10:08
1038.01,90544017,FP,08h33m49.11s,128.454638,-49d56m25.25s,-49.940347,-15.5,7,2459273.372,3.2235985,2.159,680,5.51341,2064.8,,8.7157,280.765,8904,4.09,2.17,2019-07-24 18:44,2021-10-29 12:59
1039.01,461867584,APC,09h58m45.25s,149.688545,-58d45m37.63s,-58.760453,-6.434,4.098,2460031.217,4.420125,3.956,2466,,,,8.5483,2864.34,,,,2019-07-24 18:44,2023-05-05 16:02
104.01,231670397,KP,21h19m47.93s,319.949697,-58d08m56.16s,-58.148933,10.552,-10.658,2460150.609,4.0872956,5.586113,3572.17125,13.6237732,2242.36054,1755.076738,9.8638,316.678,6036,3.93359,2.2186699,2018-09-05 18:49,2023-10-16 16:02
1040.01,310483807,FP,08h34m27.41s,128.61421,-61d29m17.74s,-61.488262,-11.78,6.725,2460756.13,2.55555,1.566,397.9246747,12.5272602,3520.68,2145,8.3854,732.432,10037,,6.04,2019-07-24 18:44,2025-11-06 16:00
